VDS_V,I_SPICE_A,lambda_0_A,lambda_0p02_A,lambda_0p05_A
2.2749999999999959,0.001766895002285,0.0017914000029177163,0.0017668950028778038,0.0017349319593474835
2.2999999999999958,0.0017677400023099999,0.0017914000029177163,0.00176774000287918,0.0017368791332636985
2.3249999999999962,0.001768585002334999,0.0017914000029177163,0.0017685850028805565,0.0017388263071799132
2.3499999999999961,0.0017694300023599981,0.0017914000029177163,0.0017694300028819328,0.0017407734810961281
2.374999999999996,0.0017702750023849991,0.0017914000029177163,0.0017702750028833088,0.0017427206550123433
2.399999999999995,0.001771120002409999,0.0017914000029177163,0.0017711200028846851,0.0017446678289285578
2.4249999999999949,0.001771965002435,0.0017914000029177163,0.0017719650028860615,0.001746615002844773
2.4499999999999948,0.0017728100024599991,0.0017914000029177163,0.0017728100028874378,0.001748562176760988
2.4749999999999952,0.001773655002484999,0.0017914000029177163,0.001773655002888814,0.0017505093506772029
2.4999999999999951,0.001774500002509999,0.0017914000029177163,0.0017745000028901903,0.0017524565245934176
2.524999999999995,0.0017753450025349989,0.0017914000029177163,0.0017753450028915668,0.0017544036985096326
2.5499999999999949,0.0017761900025599991,0.0017914000029177163,0.001776190002892943,0.0017563508724258473
2.5749999999999948,0.001777035002584999,0.0017914000029177163,0.0017770350028943191,0.0017582980463420623
2.5999999999999952,0.0017778800026099989,0.0017914000029177163,0.0017778800028956953,0.0017602452202582772
2.6249999999999951,0.001778725002634998,0.0017914000029177163,0.0017787250028970718,0.001762192394174492
2.649999999999995,0.001779570002659999,0.0017914000029177163,0.001779570002898448,0.0017641395680907071
2.674999999999994,0.001780415002684999,0.0017914000029177163,0.0017804150028998243,0.0017660867420069217
2.699999999999994,0.00178126000271,0.0017914000029177163,0.0017812600029012006,0.001768033915923137
2.7249999999999939,0.0017821050027349991,0.0017914000029177163,0.001782105002902577,0.0017699810898393518
2.7499999999999938,0.001782950002759999,0.0017914000029177163,0.0017829500029039533,0.0017719282637555667
2.7749999999999941,0.0017837950027849989,0.0017914000029177163,0.0017837950029053293,0.0017738754376717815
2.799999999999994,0.001784640002809998,0.0017914000029177163,0.0017846400029067056,0.0017758226115879964
2.824999999999994,0.001785485002834999,0.0017914000029177163,0.0017854850029080818,0.0017777697855042114
2.8499999999999939,0.0017863300028599989,0.0017914000029177163,0.0017863300029094583,0.0017797169594204261
2.8749999999999938,0.0017871750028849991,0.0017914000029177163,0.0017871750029108346,0.0017816641333366411
2.8999999999999941,0.001788020002909999,0.0017914000029177163,0.0017880200029122108,0.0017836113072528562
2.924999999999994,0.001788865002934999,0.0017914000029177163,0.0017888650029135873,0.0017855584811690712
2.949999999999994,0.001789710002959998,0.0017914000029177163,0.0017897100029149635,0.0017875056550852859
2.974999999999993,0.0017905550029849991,0.0017914000029177163,0.0017905550029163396,0.0017894528290015009
2.9999999999999929,0.0017914000030100001,0.0017914000029177163,0.0017914000029177158,0.0017914000029177156
