VGS_V,I_SPICE_A,lambda_0_A,lambda_0p02_A,lambda_0p05_A
1.860000000000001,0.00046173600301000102,0.00046173600299719556,0.00046173600299719551,0.00046173600299719556
1.880000000000001,0.00049014400301000162,0.00049014400303921252,0.00049014400303921252,0.00049014400303921252
1.900000000000001,0.00051940000301000169,0.00051940000307835847,0.00051940000307835847,0.00051940000307835847
1.920000000000001,0.00054950400301000167,0.00054950400311463347,0.00054950400311463347,0.00054950400311463347
1.9400000000000011,0.00058045600301000156,0.00058045600314803752,0.00058045600314803752,0.00058045600314803752
1.9600000000000011,0.00061225600301000179,0.00061225600317857051,0.00061225600317857051,0.00061225600317857051
1.9800000000000011,0.00064490400301000193,0.00064490400320623244,0.00064490400320623234,0.00064490400320623244
2.0000000000000009,0.00067840000301000198,0.00067840000323102299,0.00067840000323102299,0.00067840000323102299
2.0200000000000009,0.00071274400301000237,0.00071274400325294291,0.00071274400325294291,0.00071274400325294291
2.0400000000000009,0.0007479360030100018,0.00074793600327199188,0.00074793600327199188,0.00074793600327199188
2.0600000000000009,0.000783976003010002,0.00078397600328816979,0.00078397600328816979,0.00078397600328816979
2.080000000000001,0.00082086400301000211,0.00082086400330147675,0.00082086400330147675,0.00082086400330147675
2.100000000000001,0.00085860000301000257,0.00085860000331191265,0.00085860000331191265,0.00085860000331191265
2.120000000000001,0.00089718400301000249,0.00089718400331947759,0.00089718400331947749,0.00089718400331947759
2.140000000000001,0.00093661600301000276,0.00093661600332417148,0.00093661600332417148,0.00093661600332417148
2.160000000000001,0.0009768960030100025,0.00097689600332599431,0.00097689600332599431,0.00097689600332599431
2.180000000000001,0.001018024003010003,0.0010180240033249464,0.0010180240033249464,0.0010180240033249464
2.200000000000002,0.001060000003010003,0.001060000003321029,0.001060000003321029,0.0010600000033210292
2.220000000000002,0.0011028240030100029,0.0011028240033142392,0.0011028240033142392,0.0011028240033142392
2.240000000000002,0.0011464960030100029,0.0011464960033045779,0.0011464960033045779,0.0011464960033045781
2.260000000000002,0.0011910160030100031,0.0011910160032920457,0.0011910160032920457,0.0011910160032920457
2.280000000000002,0.0012363840030100029,0.0012363840032766427,0.0012363840032766427,0.0012363840032766427
2.300000000000002,0.001282600003010004,0.0012826000032583685,0.0012826000032583685,0.0012826000032583687
2.3200000000000021,0.001329664003010003,0.0013296640032372234,0.0013296640032372234,0.0013296640032372234
2.3400000000000021,0.0013775760030100041,0.0013775760032132074,0.0013775760032132072,0.0013775760032132072
2.3600000000000021,0.0014263360030100031,0.0014263360031863204,0.0014263360031863202,0.0014263360031863202
2.3800000000000021,0.001475944003010004,0.0014759440031565621,0.0014759440031565621,0.0014759440031565621
2.4000000000000021,0.0015264000030100039,0.001526400003123933,0.0015264000031239328,0.001526400003123933
2.4200000000000021,0.0015777040030100051,0.001577704003088433,0.001577704003088433,0.0015777040030884328
2.4400000000000022,0.001629856003010004,0.0016298560030500618,0.0016298560030500618,0.0016298560030500616
2.4600000000000022,0.0016828560030100049,0.0016828560030088195,0.0016828560030088193,0.0016828560030088195
2.4800000000000022,0.0017367040030100041,0.0017367040029647063,0.0017367040029647063,0.0017367040029647063
2.5000000000000022,0.001791400003010004,0.0017914000029177223,0.0017914000029177221,0.0017914000029177223
2.5200000000000018,0.0018469440030100049,0.0018469440028678658,0.0018469440028678658,0.0018469440028678658
2.5400000000000018,0.0019033360030100051,0.0019033360028151397,0.0019033360028151394,0.0019033360028151397
2.5600000000000018,0.0019605760030100049,0.0019605760027595425,0.0019605760027595425,0.0019605760027595425
2.5800000000000018,0.0020186640030100049,0.002018664002701074,0.002018664002701074,0.002018664002701074
2.6000000000000019,0.0020776000030100052,0.002077600002639735,0.002077600002639735,0.002077600002639735
2.6200000000000019,0.002137384003010005,0.0021373840025755248,0.0021373840025755248,0.0021373840025755244
2.6400000000000019,0.0021980160030100051,0.0021980160025084432,0.0021980160025084437,0.0021980160025084432
2.6600000000000019,0.002259496003010006,0.002259496002438491,0.002259496002438491,0.002259496002438491
2.6800000000000019,0.002321824003010006,0.0023218240023656681,0.0023218240023656677,0.0023218240023656681
2.700000000000002,0.002385000003010005,0.0023850000022899742,0.0023850000022899737,0.0023850000022899742
2.720000000000002,0.002449024003010006,0.0024490240022114083,0.0024490240022114083,0.0024490240022114083
2.740000000000002,0.0025138960030100061,0.0025138960021299723,0.0025138960021299723,0.0025138960021299718
2.760000000000002,0.0025796160030100062,0.0025796160020456651,0.0025796160020456651,0.0025796160020456651
2.780000000000002,0.0026461840030100069,0.0026461840019584865,0.0026461840019584865,0.0026461840019584865
2.800000000000002,0.0027136000030100072,0.0027136000018684377,0.0027136000018684373,0.0027136000018684377
2.8200000000000021,0.002781864003010007,0.0027818640017755174,0.0027818640017755174,0.0027818640017755174
2.8400000000000021,0.002850976003010007,0.0028509760016797261,0.0028509760016797257,0.0028509760016797261
2.8600000000000021,0.0029209360030100079,0.0029209360015810637,0.0029209360015810637,0.0029209360015810633
2.8800000000000021,0.002991744003010006,0.0029917440014795302,0.0029917440014795302,0.0029917440014795302
2.9000000000000021,0.0030634000030100072,0.0030634000013751261,0.0030634000013751257,0.0030634000013751257
2.9200000000000021,0.0031359040030100082,0.0031359040012678505,0.0031359040012678505,0.003135904001267851
2.9400000000000022,0.0032092560030100082,0.0032092560011577043,0.0032092560011577043,0.0032092560011577043
2.9600000000000022,0.003283456003010009,0.003283456001044687,0.003283456001044687,0.0032834560010446866
2.9800000000000022,0.0033585040030100111,0.0033585040009287987,0.0033585040009287987,0.0033585040009287987
3.0000000000000022,0.00343440000301001,0.0034344000008100393,0.0034344000008100389,0.0034344000008100389
3.0200000000000018,0.0035111440030100079,0.0035111440006884076,0.0035111440006884071,0.0035111440006884076
3.0400000000000018,0.0035887360030100088,0.003588736000563906,0.003588736000563906,0.003588736000563906
3.0600000000000018,0.0036671760030100101,0.0036671760004365335,0.0036671760004365335,0.0036671760004365335
3.0800000000000018,0.0037464640030100099,0.0037464640003062898,0.0037464640003062898,0.0037464640003062898
3.1000000000000019,0.0038266000030100101,0.0038266000001731756,0.0038266000001731756,0.0038266000001731756
3.1200000000000019,0.0039075840030100093,0.0039075840000371903,0.0039075840000371903,0.0039075840000371903
3.1400000000000019,0.0039894160030100097,0.0039894159998983339,0.0039894159998983339,0.0039894159998983339
3.1600000000000019,0.0040720960030100097,0.0040720959997566069,0.004072095999756606,0.004072095999756606
3.1800000000000019,0.004155624003010009,0.0041556239996120075,0.0041556239996120075,0.0041556239996120075
3.200000000000002,0.0042400000030100096,0.0042399999994645375,0.0042399999994645375,0.0042399999994645375
3.220000000000002,0.0043252240030100114,0.0043252239993141987,0.0043252239993141987,0.0043252239993141987
3.240000000000002,0.004411296003010011,0.0044112959991609857,0.0044112959991609857,0.0044112959991609857
3.260000000000002,0.0044982160030100117,0.0044982159990049056,0.0044982159990049056,0.0044982159990049056
3.280000000000002,0.0045859840030100102,0.0045859839988459496,0.0045859839988459496,0.0045859839988459496
3.300000000000002,0.0046746000030100099,0.0046745999986841274,0.0046745999986841265,0.0046745999986841265
3.3200000000000029,0.0047640640030100134,0.0047640639985194336,0.0047640639985194336,0.0047640639985194336
3.340000000000003,0.0048543760030100129,0.0048543759983518692,0.0048543759983518692,0.0048543759983518692
3.360000000000003,0.0049455360030100128,0.0049455359981814299,0.004945535998181429,0.0049455359981814299
3.380000000000003,0.0050375440030100121,0.0050375439980081234,0.0050375439980081234,0.0050375439980081243
3.400000000000003,0.0051304000030100126,0.005130399997831942,0.005130399997831942,0.005130399997831942
3.420000000000003,0.0052241040030100109,0.0052241039976528942,0.0052241039976528942,0.0052241039976528942
3.4400000000000031,0.0053186560030100121,0.0053186559974709698,0.0053186559974709698,0.0053186559974709707
3.4600000000000031,0.0054140560030100128,0.0054140559972861799,0.0054140559972861799,0.0054140559972861799
3.4800000000000031,0.0055103040030100147,0.0055103039970985134,0.0055103039970985134,0.0055103039970985142
3.5000000000000031,0.0056074000030100143,0.0056073999969079823,0.0056073999969079814,0.0056073999969079814
