VGS_V,I_VDS_3V_A,I_VDS_0p2V_A
1.3800000000000001,3.434400000000007e-05,3.2529600000000062e-05
1.4000000000000001,4.2400000000000075e-05,4.0160000000000063e-05
1.4199999999999999,5.1303999999999995e-05,4.8191999999999989e-05
1.4399999999999999,6.1056000000000006e-05,5.6223999999999996e-05
1.46,7.1656000000000006e-05,6.4256000000000003e-05
1.48,8.3104000000000009e-05,7.228800000000001e-05
1.5,9.5400000000000042e-05,8.0320000000000017e-05
1.52,0.00010854400000000006,8.8352000000000024e-05
1.54,0.00012253600000000007,9.6384000000000031e-05
1.5600000000000001,0.00013737600000000009,0.00010441600000000004
1.5800000000000001,0.00015306400000000012,0.00011244800000000006
1.6000000000000001,0.00016960000000000014,0.00012048000000000005
1.6200000000000001,0.00018698400000000015,0.00012851200000000006
1.6400000000000001,0.00020521600000000017,0.00013654400000000008
1.6600000000000001,0.00022429600000000021,0.00014457600000000007
1.6799999999999999,0.00024422400000000003,0.00015260800000000001
1.7,0.00026500000000000004,0.00016064000000000001
1.72,0.00028662400000000003,0.00016867200000000003
1.74,0.00030909600000000008,0.00017670400000000002
1.76,0.00033241600000000004,0.00018473600000000001
1.78,0.00035658400000000012,0.00019276800000000004
1.8,0.00038160000000000017,0.00020080000000000003
1.8200000000000001,0.00040746400000000018,0.00020883200000000005
1.8399999999999999,0.00043417599999999988,0.00021686399999999993
1.8599999999999999,0.00046173599999999992,0.00022489599999999996
1.8799999999999999,0.00049014399999999997,0.00023292799999999998
1.8999999999999999,0.00051940000000000005,0.00024095999999999997
1.9199999999999999,0.00054950400000000003,0.00024899199999999996
1.9399999999999999,0.00058045600000000003,0.00025702400000000001
1.96,0.00061225600000000004,0.000265056
1.98,0.00064490400000000007,0.00027308800000000005
2,0.00067840000000000023,0.00028112000000000005
2.02,0.00071274400000000007,0.00028915200000000004
2.04,0.00074793600000000015,0.00029718400000000003
2.0600000000000001,0.00078397600000000025,0.00030521600000000008
2.0800000000000001,0.00082086400000000025,0.00031324800000000007
2.0999999999999996,0.0008585999999999994,0.00032127999999999985
2.1200000000000001,0.00089718400000000041,0.00032931200000000006
2.1399999999999997,0.00093661599999999949,0.00033734399999999989
2.1600000000000001,0.00097689600000000032,0.00034537600000000005
